Paper ID,Title,Primary candidate type,Secondary candidate types,Engineering subtype,Status,Patient cohorts,Statistical association,Prediction models,External validation,Bacterial perturbation,Host pathway intervention,Rescue / add-back,Cell / animal models,Method development,Microbial engineering,Materials / delivery
ITB-000799,Proteomics-Based Identification and Analysis of Proteins Associated with Helicobacter pylori in Gastric Cancer.,Unresolved,,,Automatic candidate; requires manual review,Not found in abstract / unknown,"The available evidence indicates a strong link between the virulence factor of H. pylori, cytotoxin-associated gene A (CagA), and gastric cancer.",Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,"To further characterize H. pylori virulence, we established three cell lines by infecting the gastric cancer cell lines SGC-7901 and AGS with cagA+ H. pylori and transfecting SGC-7901 with a vector carrying the full-length cagA gene. | We detected 135 differently expressed proteins from the three cell lines using proteome technology, and 10 differential proteins common to the three cell lines were selected and identified by LC-MS/MS as well as verified by western blot: β-actin, L-lactate dehydrogenase (LDH), dihydrolipoamide dehydrogenase (DLD), pre-mRNA-processing factor 19 homolog (PRPF19), ATP synthase, calmodulin (CaM), p64 CLCP, Ran-specific GTPase-activating protein (RanGAP), P43 and calreticulin.",Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown
ITB-000800,Helicobacter pylori promotes angiogenesis depending on Wnt/beta-catenin-mediated vascular endothelial growth factor via the cyclooxygenase-2 pathway in gastric cancer.,Mechanistic studies,Clinical statistics,,Automatic candidate; requires manual review,"METHODS: To clarify the relationship between H. pylori infection and angiogenesis, we first investigated H. pylori colonization, COX-2, VEGF, beta-catenin expression, and microvessel density (MVD) in gastric cancer tissues from 106 patients. | H. pylori infection was not related to sex or age in gastric cancer patients, but correlated with the depth of tumor invasion, lymph node metastasis, and tumor-node-metastasis stage (P < 0.05) and correlated with the COX-2 expression and beta-catenin expression(P < 0.01).","Angiogenesis (i.e., the growth of new blood vessels) is closely associated with the incidence and development of gastric cancer. | Our previous study found that COX-2 stimulates gastric cancer cells to induce expression of the angiogenic growth factor VEGF through an unknown mechanism. | METHODS: To clarify the relationship between H. pylori infection and angiogenesis, we first investigated H. pylori colonization, COX-2, VEGF, beta-catenin expression, and microvessel density (MVD) in gastric cancer tissues from 106 patients. | In addition, COX-2, phospho-beta-catenin, and beta-catenin expression were measured by western blotting, and VEGF expression was measured by ELISA in H. pylori-infected SGC7901 and MKN45 human gastric cancer cells. | Furthermore, COX-2, beta-catenin, and VEGF expression, and MVD were significantly higher in H. pylori-positive gastric cancer tissues than in H. pylori-negative gastric cancer tissues (P < 0.01). | H. pylori infection was not related to sex or age in gastric cancer patients, but correlated with the depth of tumor invasion, lymph node metastasis, and tumor-node-metastasis stage (P < 0.05) and correlated with the COX-2 expression and beta-catenin expression(P < 0.01). | Further analysis revealed that H. pylori-induced VEGF expression was mediated by COX-2 via activation of the Wnt/beta-catenin pathway. | CONCLUSIONS: The COX-2/Wnt/beta-catenin/VEGF pathway plays an important role in H. pylori-associated gastric cancer development. | The COX-2/Wnt/beta-catenin pathway is therefore a novel therapeutic target for H. pylori-associated gastric cancers.",Not found in abstract / unknown,Not found in abstract / unknown,"METHODS: To clarify the relationship between H. pylori infection and angiogenesis, we first investigated H. pylori colonization, COX-2, VEGF, beta-catenin expression, and microvessel density (MVD) in gastric cancer tissues from 106 patients. | RESULTS: H. pylori colonization occurred in 36.8 % of gastric carcinoma samples.",Not found in abstract / unknown,Not found in abstract / unknown,Further cell experiments confirmed that H. pylori infection upregulated VEGF in vitro.,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown
ITB-000801,Helicobacter Pylori Promote B7-H1 Expression by Suppressing miR-152 and miR-200b in Gastric Cancer Cells.,Clinical statistics,,,Automatic candidate; requires manual review,"Finally, B7-H1 expression was found to correlate with miR-152 and miR-200b levels in gastric tumor tissues from human patients.","The most common cause of gastric cancer is infection with helicobacter pylori (HP), but the associated molecular mechanism is not well understood.",Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown
ITB-000802,"MicroRNA-222-3p associated with Helicobacter pylori targets HIPK2 to promote cell proliferation, invasion, and inhibits apoptosis in gastric cancer.",Mechanistic studies,,,Automatic candidate; requires manual review,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,"After that, functional experiments indicated that miR-222-3p overexpression promoted the proliferation and invasion, while inhibiting apoptosis of SGC7901 gastric cancer cells, but miR-222-3p knockdown exhibited the opposite effects. | Also, HIPK2 knockdown induced similar effects as miR-222-3p overexpression in SGC7901 cells.",Not found in abstract / unknown,"Nude mouse experiments further suggested that HIPK2 overexpression signally attenuated the enhancing effect of miR-222-3p overexpression on cell proliferation, indicating that the effect of miR-222-3p on gastric cancer progression depends on HIPK2, at least in part.",Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown
ITB-000803,Helicobacter pylori-induced exosomal MET educates tumour-associated macrophages to promote gastric cancer progression.,Unresolved,,,Automatic candidate; requires manual review,Not found in abstract / unknown,"Helicobacter pylori (H. pylori) infection triggers chronic inflammation that has been associated with gastric cancer (GC). | Taken together, these data were the first to demonstrate H. pylori infection-induced upregulation of activated MET in exosomes and the pro-tumorigenic effect on tumour-associated macrophages.",Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,"This included exosomal MET-mediated stimulation of proinflammatory cytokine secretion IL-1β, which subsequently promoted tumour growth and progression in vitro and in vivo.",Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown
ITB-000804,Helicobacter pylori-induced miR-135b-5p promotes cisplatin resistance in gastric cancer.,Mechanistic studies,,,Automatic candidate; requires manual review,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,"Furthermore, we found that miR-135b-5p is also up-regulated in gastric tumors from the trefoil factor 1-knockout mouse model.",Not found in abstract / unknown,"Furthermore, we found that miR-135b-5p is also up-regulated in gastric tumors from the trefoil factor 1-knockout mouse model. | Infection with H. pylori induced the expression of miR-135b-5p in the in vitro and in vivo models. miR-135b-5p induction was mediated by NF-κB.",Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown
ITB-000805,MicroRNA‑140 suppresses Helicobacter pylori‑positive gastric cancer growth by enhancing the antitumor immune response.,Clinical statistics,,,Automatic candidate; requires manual review,"Gastritis tissue samples from gastritis patients, and gastric cancer tissue samples from gastric cancer patients were collected for miR‑140 expression detection. miR‑140 expression was detected using reverse transcription‑quantitative polymerase chain reaction, and protein expression was measured by western blotting.","The aim of the current study was to investigate the role and molecular mechanisms of miR‑140 in Helicobacter pylori (Hp)‑associated gastric cancer, and to examine its relationship with immune function in gastric cancer. | TargetScan and dual luciferase reporter assays were used to reveal the association between miR‑140 and programmed cell death‑ligand 1 (PD‑L1). | Furthermore, it was determined that the tumor‑suppressive role of miR‑140 in gastric cancer was associated with increased cytotoxic CD8+ T cell and reduced myeloid‑derived suppressive and regulatory T cell infiltration. miR‑140 significantly prevented mammalian target of rapamycin signaling in gastric cancer cells.",Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,In vivo experiments also revealed that miR‑140 markedly repressed tumor growth in the C57BL/6 mice.,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown
ITB-000807,L-Plastin Promotes Gastric Cancer Growth and Metastasis in a Helicobacter pylori cagA-ERK-SP1-Dependent Manner.,Unresolved,,,Automatic candidate; requires manual review,Not found in abstract / unknown,"We further explored the regulation and function of L-plastin in H. pylori-associated gastric cancer and found that, mechanistically, H. pylori infection induced gastric cancer cells to express L-plastin via cagA-activated ERK signaling pathway to mediate SP1 binding to L-plastin promoter. | Finally, we detected the expression pattern of L-plastin in gastric cancer tissues, and found that L-plastin was increased in gastric cancer tissues and that this increase of L-plastin positively correlated with cagA + H. pylori infection status.",Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,"Moreover, this increased L-plastin promoted gastric cancer cell proliferation and migration in vitro and facilitated the growth and metastasis of gastric cancer in vivo.",Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown
ITB-000808,Fusobacterium nucleatum colonization is associated with decreased survival of helicobacter pylori-positive gastric cancer patients.,Mechanistic studies,Clinical statistics,,Automatic candidate; requires manual review,"F. nucleatum is known to exert cytotoxic effects and play a role in the progression of colorectal cancer, though the impact of F. nucleatum colonization on gastric cancer cells and patient prognosis has not yet been examined. | A cohort of gastric cancer patients undergoing gastrectomy was recruited, and nested polymerase chain reaction was performed to detect the presence of F. nucleatum in resected cancer tissues. | Statistical analysis was performed to determine whether F. nucleatum colonization affects patient survival. | According to the clinical specimen analysis, approximately one-third of the gastric cancer patients were positive for F. nucleatum, and statistical analysis indicated that the risk for colonization increases in late-stage cancer patients. | Survival analysis demonstrated that F. nucleatum colonization was associated with poorer outcomes among patients also positive for Helicobacter pylori (H. pylori). | Cohort analysis demonstrated that F. nucleatum colonization leads to poorer prognosis in H. pylori-positive patients with late-stage gastric cancer. | Hence, combined colonization of F. nucleatum and H. pylori is a predictive biomarker for poorer survival in late-stage gastric cancer patients treated with gastrectomy.",BACKGROUND: An increased amount of Fusobacterium nucleatum (F. nucleatum) is frequently detected in the gastric cancer-associated microbiota of the Taiwanese population. | Survival analysis demonstrated that F. nucleatum colonization was associated with poorer outcomes among patients also positive for Helicobacter pylori (H. pylori).,Not found in abstract / unknown,Not found in abstract / unknown,"F. nucleatum is known to exert cytotoxic effects and play a role in the progression of colorectal cancer, though the impact of F. nucleatum colonization on gastric cancer cells and patient prognosis has not yet been examined. | Statistical analysis was performed to determine whether F. nucleatum colonization affects patient survival. | RESULTS: RNA sequencing and subsequent pathway analysis revealed a drastic interferon response induced by a high colonization load. | In contrast, deregulation of actin and its regulators was observed during prolonged incubation under a low colonization load, likely altering the mobility of gastric cancer cells. | According to the clinical specimen analysis, approximately one-third of the gastric cancer patients were positive for F. nucleatum, and statistical analysis indicated that the risk for colonization increases in late-stage cancer patients. | Survival analysis demonstrated that F. nucleatum colonization was associated with poorer outcomes among patients also positive for Helicobacter pylori (H. pylori). | CONCLUSION: F. nucleatum colonization leads to deregulation of actin dynamics and likely changes cancer cell mobility. | Cohort analysis demonstrated that F. nucleatum colonization leads to poorer prognosis in H. pylori-positive patients with late-stage gastric cancer. | Hence, combined colonization of F. nucleatum and H. pylori is a predictive biomarker for poorer survival in late-stage gastric cancer patients treated with gastrectomy.",Not found in abstract / unknown,Not found in abstract / unknown,"METHODS: Coculture of F. nucleatum with a gastric cancer cell line was performed, and changes in gene expression were investigated.",Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown
ITB-000809,Bacteria-Derived Extracellular Vesicles in Urine as a Novel Biomarker for Gastric Cancer: Integration of Liquid Biopsy and Metagenome Analysis.,Clinical statistics,,,Automatic candidate; requires manual review,The microbial composition of healthy groups and gastric cancer patient groups was significantly different in all sample types.,Not found in abstract / unknown,"We aimed to evaluate the microbial composition in gastric cancer using bacteria-derived EVs and to build a diagnostic prediction model for gastric cancer with the metagenome data. | Among the diagnostic prediction models for gastric cancer, the urine-based model showed the highest performance when compared to that of stool or serum.",Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown
ITB-000810,Dysbiosis of Gastric Mucosal Fungal Microbiota in the Gastric Cancer Microenvironment.,Clinical statistics,,,Automatic candidate; requires manual review,"METHODS: Gastric fungal microbiome profiling was performed with internal transcribed spacer (ITS) rDNA sequencing in primary tumor and corresponding paired normal mucosal tissues from 61 GC patients. | Twenty-seven of the 61 GC patients showed positive Solicoccozyma expression in tumors. | Solicoccozyma was considered a gastric fungal marker to classify stage I and stage II-IV GC patients with an area under the receiver-operating curve (AUC) of 0.7061, as well as to classify the nerve invasive and nonnerve invasive tumors from GC patients with an AUC of 0.6978.","BACKGROUND: Microbes have been shown to contribute to gastric cancer (GC), gastric bacteria and viruses are associated with gastric carcinogenesis. | Solicoccozyma-positive expression in tumors was associated with the Bormann classification and nerve invasion. | Functional prediction indicated that the positive expression of Solicoccozyma in tumors was associated with the amino acid- and carbohydrate-related metabolic pathways in GC.","Solicoccozyma was considered a gastric fungal marker to classify stage I and stage II-IV GC patients with an area under the receiver-operating curve (AUC) of 0.7061, as well as to classify the nerve invasive and nonnerve invasive tumors from GC patients with an AUC of 0.6978.",Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown
ITB-000811,Genetic mutation and tumor microbiota determine heterogenicity of tumor immune signature: Evidence from gastric and colorectal synchronous cancers.,Unresolved,,,Automatic candidate; requires manual review,Not found in abstract / unknown,"Both colorectal and gastric cancer are lethal solid-tumor malignancies, leading to the majority of cancer-associated deaths worldwide.",Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown
ITB-000812,The composition and functional profile of the microbial communities in human gastric cancer tissues and adjacent normal tissues.,Clinical statistics,,,Automatic candidate; requires manual review,"In this study, we aimed to compare the microbial community composition and the predicted functional profile in paired cancer and adjacent normal tissues of gastric cancer patients. | Cancer tissues and adjacent normal tissues were collected from 10 patients with gastric cancer under endoscopy, and genomic DNA was extracted. | In conclusion, there is a significant difference in the composition of the mucosa-related microbial communities between cancer tissues and adjacent normal tissues in patients with gastric cancer.","Moreover, those taxa enriched in cancer tissues are associated with the synthesis and degradation of ketone bodies.",Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown
ITB-000813,Overexpression of HOXA-AS2 LncRNA in Patients with Gastric Cancer and Its Association with Helicobacter pylori Infection.,Clinical statistics,,,Automatic candidate; requires manual review,"The present study was designed to assess the difference of HOXA-AS2 gene expression levels in cancerous tissues as compared to marginal noncancerous tissues of gastric cancer patients. | METHODS: Fifty pairs of cancerous and marginal noncancerous tissue of gastric cancer patients were collected in the present study. | RESULTS: The HOXA-AS2 expression was significantly elevated in cancerous tissues as compared to marginal noncancerous tissues in gastric cancer patients (p < 0.0001). | CONCLUSION: With regard to the overexpression of HOXA-AS2 in gastric cancer tissues, the mentioned gene may serve as an oncogenic lncRNA in gastric cancer patients. | Moreover, HOXA-AS2 can act as a potential biomarker in molecular targeted therapies to recognize and treat gastric cancer patients.","Furthermore, the association between HOXA-AS2 expression and the clinicopathological features as well as the function of HOXA-AS2 biomarkers was evaluated. | Analysis of gene expression data revealed that there was a significant association between an increased HOXA-AS2 gene expression and clinicopathological features such as tumor size ˃ 5 cm (p = 0.009), lymph node metastasis (p = 0.028), and H. pylori infection (p = 0.011).","The results of ROC analysis indicated that HOXA-AS2 with AUC, sensitivity, and specificity of 0.816, 92%, and 70%, respectively, can act as a potential biomarker (CI 95% = 0.7297-0.9023).",Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown
ITB-000814,Differential Expression of α-Enolase in Clinical Gastric Tissues and Cultured Normal/Cancer Cells in Response to Helicobacter pylori Infection and cagA Transfection.,Clinical statistics,,,Automatic candidate; requires manual review,"Results: A total of 172 gastric specimens were collected from 142 patients, the former comprising chronic superficial gastritis (CSG), precancerous diseases (PCDs, including atrophic gastritis, intestinal metaplasia and dysplasia) and gastric cancer (GC) cases.","Conclusions: This report reveals that ENO1 expression is associated with H. pylori infection, cagA transfection, co-culture duration, multiplicity of infection, gastric normal/cancerous cell lines and cellular differentiation.",Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,"Conclusions: This report reveals that ENO1 expression is associated with H. pylori infection, cagA transfection, co-culture duration, multiplicity of infection, gastric normal/cancerous cell lines and cellular differentiation.",Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown
